Year,RoundNumber,QualyPos,GridPosition,RacePos,Points,Laps,Q1_seconds,Q2_seconds,Q3_seconds,Team_Alpine,Team_Aston Martin,Team_Ferrari,Team_Haas F1 Team,Team_Kick Sauber,Team_McLaren,Team_Mercedes,Team_RB,Team_Red Bull Racing,Team_Williams,FinishedRace,IsRaceWinner,IsPodium,driver_avg_points_last_3,driver_avg_finish_pos_last_3,driver_avg_qualy_pos_last_3,driver_championship_points_before_race,driver_total_dnfs_season
2024,3,13,13,14,0.0,57.0,77.543,77.34,999.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,18.0,16.0,2313.0,44
2024,3,14,14,10,1.0,57.0,77.709,77.427,999.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,12.0,14.0,891.0,22
2024,3,15,15,16,0.0,57.0,77.617,77.697,999.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,15.0,18.0,575.0,13
2024,3,16,16,9,2.0,58.0,77.976,999.0,999.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.5,13.0,12.5,1839.0,33
2024,3,17,17,13,0.0,57.0,77.982,999.0,999.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,19.0,19.0,2141.0,37
2024,3,18,18,12,0.0,57.0,78.085,999.0,999.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,14.5,14.0,568.0,11
2024,3,19,19,15,0.0,57.0,78.188,999.0,999.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,14.5,18.5,887.0,20
2024,4,1,1,1,26.0,53.0,88.866,88.74,88.197,0,0,0,0,0,0,0,0,1,0,1,1,1,17.0,7.0,1.0,1498.0,33
2024,4,2,2,2,18.0,53.0,89.303,88.752,88.263,0,0,0,0,0,0,0,0,1,0,1,0,1,15.333333333333334,3.0,3.6666666666666665,2221.0,40
2024,4,3,3,5,10.0,53.0,89.536,88.94,88.489,0,0,0,0,0,1,0,0,0,0,1,0,0,9.0,5.666666666666667,5.666666666666667,956.0,28
2024,4,4,4,3,15.0,53.0,89.513,89.099,88.682,0,0,1,0,0,0,0,0,0,0,1,0,1,20.0,2.0,3.0,52.0,7
2024,4,5,5,6,8.0,53.0,89.254,89.082,88.686,0,1,0,0,0,0,0,0,0,0,1,0,0,5.333333333333333,7.333333333333333,6.666666666666667,614.0,14
2024,4,6,6,8,4.0,53.0,89.425,89.148,88.76,0,0,0,0,0,1,0,0,0,0,1,0,0,9.333333333333334,5.333333333333333,6.333333333333333,1905.0,36
2024,4,7,7,9,2.0,53.0,89.661,88.887,88.766,0,0,0,0,0,0,1,0,0,0,1,0,0,2.6666666666666665,11.333333333333334,9.333333333333334,1256.0,29
2024,4,8,8,4,12.0,53.0,89.338,89.196,88.786,0,0,1,0,0,0,0,0,0,0,1,0,0,15.666666666666666,3.0,3.0,303.0,10
2024,4,9,9,7,6.0,53.0,89.799,89.14,89.008,0,0,0,0,0,0,1,0,0,0,1,0,0,6.0,9.333333333333334,5.666666666666667,689.0,18
2024,4,10,10,10,1.0,52.0,89.775,89.417,89.413,0,0,0,0,0,0,0,1,0,0,1,0,0,2.0,12.0,9.333333333333334,2319.0,45
2024,4,11,11,19,0.0,0.0,89.727,89.472,999.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,13.666666666666666,15.333333333333334,568.0,11
2024,4,12,12,11,0.0,52.0,89.821,89.494,999.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.0,11.666666666666666,13.666666666666666,1841.0,33
2024,4,13,13,14,0.0,52.0,89.602,89.593,999.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,16.666666666666668,15.0,2313.0,44
2024,4,14,14,20,0.0,0.0,89.963,89.714,999.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,12.333333333333334,12.333333333333334,0.0,0
2024,4,15,15,15,0.0,52.0,89.811,89.816,999.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,15.333333333333334,17.0,575.0,13
2024,4,16,16,12,0.0,52.0,90.024,999.0,999.0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.0,11.666666666666666,10.333333333333334,914.0,25
2024,4,17,17,16,0.0,52.0,90.119,999.0,999.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,17.0,18.333333333333332,2141.0,37
2024,4,18,18,13,0.0,52.0,90.131,999.0,999.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.3333333333333333,11.333333333333334,14.0,892.0,22
2024,4,19,19,17,0.0,52.0,90.139,999.0,999.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,17.0,18.5,1447.0,30
2024,4,20,20,18,0.0,12.0,90.143,999.0,999.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,14.666666666666666,18.666666666666668,887.0,20
2024,5,1,1,1,25.0,56.0,94.742,93.794,93.66,0,0,0,0,0,0,0,0,1,0,1,1,1,17.0,7.0,1.0,1524.0,33
2024,5,2,2,3,15.0,56.0,95.457,94.026,93.982,0,0,0,0,0,0,0,0,1,0,1,0,1,15.333333333333334,3.0,2.6666666666666665,2239.0,40
2024,5,3,3,7,7.0,56.0,95.116,94.652,94.148,0,1,0,0,0,0,0,0,0,0,1,0,0,7.333333333333333,6.333333333333333,6.333333333333333,622.0,14
2024,5,4,4,2,18.0,56.0,94.842,94.46,94.165,0,0,0,0,0,1,0,0,0,0,1,0,1,9.666666666666666,5.333333333333333,4.333333333333333,966.0,28
2024,5,5,5,8,4.0,56.0,95.014,94.659,94.273,0,0,0,0,0,1,0,0,0,0,1,0,0,9.333333333333334,5.333333333333333,5.666666666666667,1909.0,36
2024,5,6,6,4,12.0,56.0,94.797,94.399,94.289,0,0,1,0,0,0,0,0,0,0,1,0,0,15.666666666666666,3.0,5.0,315.0,10
2024,5,7,7,5,10.0,56.0,94.97,94.368,94.297,0,0,1,0,0,0,0,0,0,0,1,0,0,18.333333333333332,2.3333333333333335,3.3333333333333335,67.0,7
2024,5,8,8,6,8.0,56.0,95.084,94.609,94.433,0,0,0,0,0,0,1,0,0,0,1,0,0,4.666666666666667,10.0,7.666666666666667,695.0,18
2024,5,9,9,10,1.0,56.0,95.068,94.667,94.604,0,0,0,1,0,0,0,0,0,0,1,0,0,1.0,10.0,14.333333333333334,1841.0,33
2024,5,10,10,20,0.0,19.0,95.169,94.769,94.665,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,15.0,14.0,2313.0,44
2024,5,11,11,15,0.0,56.0,95.334,94.838,999.0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.6666666666666665,12.333333333333334,11.666666666666666,914.0,25
2024,5,12,12,18,0.0,33.0,95.443,94.934,999.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,15.666666666666666,14.333333333333334,568.0,12
2024,5,13,13,11,0.0,56.0,95.356,95.223,999.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,14.666666666666666,15.666666666666666,575.0,13
2024,5,14,14,12,0.0,56.0,95.384,95.241,999.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,14.0,12.666666666666666,0.0,1
2024,5,15,15,13,0.0,56.0,95.287,95.463,999.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,16.333333333333332,17.333333333333332,2141.0,37
2024,5,16,16,14,0.0,56.0,95.505,999.0,999.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,17.0,19.666666666666668,887.0,21
2024,5,17,17,16,0.0,56.0,95.516,999.0,999.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.3333333333333333,11.666666666666666,15.0,892.0,22
2024,5,18,18,9,2.0,56.0,95.573,999.0,999.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.3333333333333333,12.0,8.666666666666666,1258.0,29
2024,5,19,19,19,0.0,26.0,95.746,999.0,999.0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.3333333333333335,10.666666666666666,9.0,2320.0,45
2024,5,20,20,17,0.0,56.0,96.358,999.0,999.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,17.0,18.666666666666668,1447.0,30
2024,6,1,1,2,18.0,57.0,87.689,87.566,87.241,0,0,0,0,0,0,0,0,1,0,1,0,1,17.0,7.0,1.0,1549.0,33
2024,6,2,2,3,15.0,57.0,88.081,87.533,87.382,0,0,1,0,0,0,0,0,0,0,1,0,1,14.333333333333334,3.3333333333333335,6.333333333333333,327.0,10
2024,6,3,3,5,10.0,57.0,87.937,87.941,87.455,0,0,1,0,0,0,0,0,0,0,1,0,0,16.666666666666668,3.0,4.333333333333333,77.0,7
2024,6,4,4,4,12.0,57.0,87.772,87.839,87.46,0,0,0,0,0,0,0,0,1,0,1,0,0,14.333333333333334,3.3333333333333335,2.3333333333333335,2254.0,40
2024,6,5,5,1,25.0,57.0,87.913,87.871,87.594,0,0,0,0,0,1,0,0,0,0,1,1,1,14.333333333333334,3.3333333333333335,3.6666666666666665,984.0,28
2024,6,6,6,13,0.0,57.0,88.032,87.721,87.675,0,0,0,0,0,1,0,0,0,0,1,0,0,6.666666666666667,6.666666666666667,5.666666666666667,1913.0,36
2024,6,7,7,8,4.0,57.0,88.159,88.095,88.067,0,0,0,0,0,0,1,0,0,0,1,0,0,4.666666666666667,10.0,8.0,703.0,18
2024,6,8,8,6,8.0,57.0,88.167,87.697,88.107,0,0,0,0,0,0,1,0,0,0,1,0,0,1.3333333333333333,12.0,12.0,1260.0,29
