Year,RoundNumber,EventName,QualyPos,FullName,Q1,Q2,Q3,GridPosition,RacePos,Points,Laps,Team_Alpine,Team_Aston Martin,Team_Ferrari,Team_Haas F1 Team,Team_Kick Sauber,Team_McLaren,Team_Mercedes,Team_Racing Bulls,Team_Red Bull Racing,Team_Williams,FinishedRace,IsRaceWinner,IsPodium,IsStreetCircuit,RacePos_Last_1,RacePos_Last_2,RacePos_Last_3,driver_avg_points_last_3,driver_avg_finish_last_3,driver_avg_qualy_last_3,season_points,dnfs_season
2024,4,Japanese Grand Prix,10.0,Yuki Tsunoda,89.775,89.417,89.413,10.0,10.0,1.0,52.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7.0,15.0,14.0,5.333333333333333,8.666666666666666,8.0,6.0,0
2024,4,Japanese Grand Prix,11.0,Daniel Ricciardo,89.727,89.472,999.0,11.0,19.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.0,16.0,13.0,14.666666666666666,5.0,8.333333333333334,0.0,0
2024,4,Japanese Grand Prix,12.0,Nico Hulkenberg,89.821,89.494,999.0,12.0,11.0,0.0,52.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9.0,10.0,16.0,0.6666666666666666,14.0,12.0,3.0,0
2024,4,Japanese Grand Prix,13.0,Valtteri Bottas,89.602,89.593,999.0,13.0,14.0,0.0,52.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,14.0,17.0,19.0,3.3333333333333335,10.666666666666666,11.0,0.0,0
2024,4,Japanese Grand Prix,14.0,Alexander Albon,89.963,89.714,999.0,14.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.0,11.0,15.0,0.0,14.333333333333334,12.333333333333334,0.0,0
2024,4,Japanese Grand Prix,15.0,Esteban Ocon,89.811,89.816,999.0,15.0,15.0,0.0,52.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16.0,13.0,17.0,6.333333333333333,10.0,12.666666666666666,0.0,0
2024,4,Japanese Grand Prix,16.0,Lance Stroll,90.024,999.0,999.0,16.0,12.0,0.0,52.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6.0,19.0,10.0,3.0,10.333333333333334,14.0,9.0,1
2024,4,Japanese Grand Prix,17.0,Pierre Gasly,90.119,999.0,999.0,17.0,16.0,0.0,52.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.0,20.0,18.0,4.666666666666667,8.666666666666666,13.0,0.0,1
2024,4,Japanese Grand Prix,18.0,Kevin Magnussen,90.131,999.0,999.0,18.0,13.0,0.0,52.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10.0,12.0,12.0,0.3333333333333333,14.0,13.333333333333334,1.0,0
2024,4,Japanese Grand Prix,19.0,Logan Sargeant,90.139,999.0,999.0,19.0,17.0,0.0,52.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,14.0,20.0,20.0,5.0,11.666666666666666,11.333333333333334,0.0,0
2024,4,Japanese Grand Prix,20.0,Guanyu Zhou,90.143,999.0,999.0,20.0,18.0,0.0,12.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.0,18.0,11.0,1.3333333333333333,13.333333333333334,12.0,0.0,0
2024,5,Chinese Grand Prix,1.0,Max Verstappen,94.742,93.794,93.66,1.0,1.0,25.0,56.0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1.0,19.0,1.0,9.333333333333334,9.0,9.0,77.0,1
2024,5,Chinese Grand Prix,2.0,Sergio Perez,95.457,94.026,93.982,2.0,3.0,15.0,56.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2.0,5.0,2.0,7.333333333333333,8.666666666666666,8.333333333333334,64.0,0
2024,5,Chinese Grand Prix,3.0,Fernando Alonso,95.116,94.652,94.148,3.0,7.0,7.0,56.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6.0,8.0,5.0,2.6666666666666665,13.333333333333334,10.333333333333334,24.0,0
2024,5,Chinese Grand Prix,4.0,Lando Norris,94.842,94.46,94.165,4.0,2.0,18.0,56.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,5.0,3.0,8.0,3.3333333333333335,10.0,12.333333333333334,37.0,0
2024,5,Chinese Grand Prix,5.0,Oscar Piastri,95.014,94.659,94.273,5.0,8.0,4.0,56.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8.0,4.0,4.0,10.0,6.666666666666667,6.333333333333333,32.0,0
2024,5,Chinese Grand Prix,6.0,Charles Leclerc,94.797,94.399,94.289,6.0,4.0,12.0,56.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4.0,2.0,3.0,9.0,9.0,8.666666666666666,59.0,0
2024,5,Chinese Grand Prix,7.0,Carlos Sainz,94.97,94.368,94.297,7.0,5.0,10.0,56.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.0,1.0,3.0,7.0,10.0,8.666666666666666,55.0,0
2024,5,Chinese Grand Prix,8.0,George Russell,95.084,94.609,94.433,8.0,6.0,8.0,56.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7.0,17.0,6.0,4.666666666666667,9.333333333333334,9.666666666666666,24.0,1
2024,5,Chinese Grand Prix,9.0,Nico Hulkenberg,95.068,94.667,94.604,9.0,10.0,1.0,56.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11.0,9.0,10.0,8.666666666666666,9.666666666666666,10.666666666666666,3.0,0
2024,5,Chinese Grand Prix,10.0,Valtteri Bottas,95.169,94.769,94.665,10.0,20.0,0.0,19.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.0,14.0,17.0,6.0,10.666666666666666,10.666666666666666,0.0,0
2024,5,Chinese Grand Prix,11.0,Lance Stroll,95.334,94.838,999.0,11.0,15.0,0.0,56.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12.0,6.0,19.0,0.0,14.333333333333334,18.0,9.0,1
2024,5,Chinese Grand Prix,12.0,Daniel Ricciardo,95.443,94.934,999.0,12.0,18.0,0.0,33.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.0,12.0,16.0,9.0,8.666666666666666,7.666666666666667,0.0,1
2024,5,Chinese Grand Prix,13.0,Esteban Ocon,95.356,95.223,999.0,13.0,11.0,0.0,56.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15.0,16.0,13.0,4.0,12.666666666666666,11.333333333333334,0.0,0
2024,5,Chinese Grand Prix,14.0,Alexander Albon,95.384,95.241,999.0,14.0,12.0,0.0,56.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,20.0,11.0,11.0,2.0,13.666666666666666,11.666666666666666,0.0,1
2024,5,Chinese Grand Prix,15.0,Pierre Gasly,95.287,95.463,999.0,15.0,13.0,0.0,56.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16.0,13.0,20.0,1.3333333333333333,11.666666666666666,11.666666666666666,0.0,1
2024,5,Chinese Grand Prix,16.0,Guanyu Zhou,95.505,999.0,999.0,16.0,14.0,0.0,56.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,18.0,15.0,18.0,4.666666666666667,10.333333333333334,11.333333333333334,0.0,1
2024,5,Chinese Grand Prix,17.0,Kevin Magnussen,95.516,999.0,999.0,17.0,16.0,0.0,56.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,13.0,10.0,12.0,2.0,12.666666666666666,15.666666666666666,1.0,0
2024,5,Chinese Grand Prix,18.0,Lewis Hamilton,95.573,999.0,999.0,18.0,9.0,2.0,56.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9.0,18.0,9.0,4.0,8.666666666666666,8.666666666666666,10.0,1
2024,5,Chinese Grand Prix,19.0,Yuki Tsunoda,95.746,999.0,999.0,19.0,19.0,0.0,26.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.0,7.0,15.0,6.333333333333333,8.666666666666666,8.333333333333334,7.0,0
